Model Type,Time Steps,Sentiment,Study,MAPE
CNN,5,No,1210,0.04344131
CNN,5,No,1246,0.150307693
CNN,5,No,1186,0.159206916
CNN,5,No,1198,0.164798401
CNN,5,No,1222,0.23953217
CNN,5,No,1138,0.263701482
CNN,5,No,1234,0.265930736
CNN,5,No,1162,0.269101238
CNN,5,No,1126,0.920185458
CNN,5,No,1114,1.431966446
CNN,5,No,1150,2.364892879
CNN,5,No,1174,2.741922245
CNN,5,Yes,1211,0.044335103
CNN,5,Yes,1199,0.044438959
CNN,5,Yes,1187,0.106077203
CNN,5,Yes,1235,0.137977571
CNN,5,Yes,1247,0.171373361
CNN,5,Yes,1115,0.267186972
CNN,5,Yes,1127,0.310565798
CNN,5,Yes,1223,0.776807374
CNN,5,Yes,1139,1.179920318
CNN,5,Yes,1175,1.433697731
CNN,5,Yes,1151,2.742955083
CNN,5,Yes,1163,3.070366568
CNN,10,No,1200,0.111147895
CNN,10,No,1164,0.229163769
CNN,10,No,1224,0.333814974
CNN,10,No,1176,0.455323377
CNN,10,No,1116,0.603100049
CNN,10,No,1188,0.903966984
CNN,10,No,1248,1.074955934
CNN,10,No,1152,1.154478885
CNN,10,No,1236,1.478732234
CNN,10,No,1212,1.679328958
CNN,10,No,1140,3.329464513
CNN,10,No,1128,4.506456276
CNN,10,Yes,1249,0.091392956
CNN,10,Yes,1237,0.1348686
CNN,10,Yes,1201,0.27308279
CNN,10,Yes,1141,0.275134292
CNN,10,Yes,1177,0.672351418
CNN,10,Yes,1189,1.044204525
CNN,10,Yes,1129,1.051488587
CNN,10,Yes,1165,1.899249609
CNN,10,Yes,1225,2.301753788
CNN,10,Yes,1213,2.546111184
CNN,10,Yes,1117,3.701057224
CNN,10,Yes,1153,4.023554656
CNN,20,No,1238,0.986488215
CNN,20,No,1250,2.769951224
CNN,20,No,1142,5.056862703
CNN,20,No,1226,5.423032229
CNN,20,No,1118,5.994615631
CNN,20,No,1130,6.063784624
CNN,20,No,1190,6.525133969
CNN,20,No,1154,7.019677776
CNN,20,No,1166,7.423257487
CNN,20,No,1214,7.580771513
CNN,20,No,1202,8.011776237
CNN,20,No,1178,8.753171984
CNN,20,Yes,1251,1.52599678
CNN,20,Yes,1215,5.579394123
CNN,20,Yes,1203,6.346299814
CNN,20,Yes,1143,6.348097736
CNN,20,Yes,1155,6.45142187
CNN,20,Yes,1191,6.468011051
CNN,20,Yes,1167,6.948979208
CNN,20,Yes,1179,7.261393565
CNN,20,Yes,1227,7.566492796
CNN,20,Yes,1239,8.078323484
CNN,20,Yes,1131,8.857078431
CNN,20,Yes,1119,9.133942244
LSTM,5,No,1168,0.21925463
LSTM,5,No,1216,0.281009095
LSTM,5,No,1252,0.348460513
LSTM,5,No,1240,0.533862755
LSTM,5,No,1228,0.585078203
LSTM,5,No,1144,0.630793558
LSTM,5,No,1132,0.872344705
LSTM,5,No,1204,1.094724947
LSTM,5,No,1192,1.222920914
LSTM,5,No,1120,1.952118827
LSTM,5,No,1156,2.399275761
LSTM,5,No,1180,2.437536439
LSTM,5,Yes,1217,0.110876942
LSTM,5,Yes,1241,0.327347291
LSTM,5,Yes,1253,0.638728611
LSTM,5,Yes,1121,0.90833923
LSTM,5,Yes,1205,1.051756021
LSTM,5,Yes,1157,1.218001533
LSTM,5,Yes,1169,1.313190496
LSTM,5,Yes,1133,2.375702849
LSTM,5,Yes,1193,2.403449142
LSTM,5,Yes,1229,2.648918501
LSTM,5,Yes,1181,2.817704638
LSTM,5,Yes,1145,3.034706336
LSTM,10,No,1230,0.154363142
LSTM,10,No,1254,0.281426032
LSTM,10,No,1218,0.329553622
LSTM,10,No,1158,0.332727643
LSTM,10,No,1206,0.551801956
LSTM,10,No,1182,0.577014662
LSTM,10,No,1170,0.597684507
LSTM,10,No,1146,0.953920868
LSTM,10,No,1242,1.218705307
LSTM,10,No,1122,1.24355557
LSTM,10,No,1194,1.279655661
LSTM,10,No,1134,1.458270002
LSTM,10,Yes,1243,0.007082631
LSTM,10,Yes,1231,0.268159891
LSTM,10,Yes,1195,0.295431136
LSTM,10,Yes,1123,0.395655602
LSTM,10,Yes,1255,0.48989447
LSTM,10,Yes,1171,0.498823653
LSTM,10,Yes,1147,0.89905816
LSTM,10,Yes,1135,1.07770769
LSTM,10,Yes,1207,2.600284194
LSTM,10,Yes,1159,3.049066846
LSTM,10,Yes,1183,5.218805838
LSTM,10,Yes,1219,6.696193008
LSTM,20,No,1196,0.09689099
LSTM,20,No,1208,0.165278169
LSTM,20,No,1160,0.213059946
LSTM,20,No,1232,0.286263112
LSTM,20,No,1172,0.294334974
LSTM,20,No,1136,0.38454409
LSTM,20,No,1148,0.503398362
LSTM,20,No,1256,0.701133919
LSTM,20,No,1244,0.797168004
LSTM,20,No,1124,0.848064359
LSTM,20,No,1220,1.84108954
LSTM,20,No,1184,1.895692685
LSTM,20,Yes,1185,0.020956057
LSTM,20,Yes,1173,0.223622064
LSTM,20,Yes,1197,0.24327937
LSTM,20,Yes,1125,0.248238413
LSTM,20,Yes,1161,0.258635915
LSTM,20,Yes,1221,0.587220831
LSTM,20,Yes,1245,0.595596851
LSTM,20,Yes,1233,0.643142483
LSTM,20,Yes,1149,1.022831306
LSTM,20,Yes,1209,1.111170972
LSTM,20,Yes,1257,2.116069561
LSTM,20,Yes,1137,2.79571073
