Model Type,Time Steps,Sentiment,Study,MAPE
LSTM,5,No,595,2.031352466
LSTM,5,Yes,596,3.646205706
LSTM,10,No,597,2.672801121
LSTM,10,Yes,598,2.716601798
LSTM,20,No,599,1.758174978
LSTM,20,Yes,600,2.144375346
CNN,5,No,601,4.984859732
CNN,5,Yes,602,5.370172394
CNN,10,No,603,3.611910589
CNN,10,Yes,604,5.208156148
CNN,20,No,605,6.62326093
CNN,20,Yes,606,6.535160597
LSTM,5,No,607,2.197728937
LSTM,5,Yes,608,4.659386677
LSTM,10,No,609,2.786808453
LSTM,10,Yes,610,2.595530095
LSTM,20,No,611,1.550177578
LSTM,20,Yes,612,2.003804803
CNN,5,No,613,4.590885877
CNN,5,Yes,614,1.40177296
CNN,10,No,615,2.736051468
CNN,10,Yes,616,2.652020208
CNN,20,No,617,8.558568551
CNN,20,Yes,618,9.266044768
LSTM,5,No,619,0.485329239
LSTM,5,Yes,620,3.844474842
LSTM,10,No,621,5.679009004
LSTM,10,Yes,622,2.548289939
LSTM,20,No,623,1.151322723
LSTM,20,Yes,624,1.877057278
CNN,5,No,625,1.606881288
CNN,5,Yes,626,4.153501227
CNN,10,No,627,3.15981606
CNN,10,Yes,628,5.815602197
CNN,20,No,629,7.415054646
CNN,20,Yes,630,8.194953029
LSTM,5,No,631,4.865513932
LSTM,5,Yes,632,3.012982151
LSTM,10,No,633,3.139549932
LSTM,10,Yes,634,3.265906868
LSTM,20,No,635,1.775928963
LSTM,20,Yes,636,1.490144756
CNN,5,No,637,1.271646525
CNN,5,Yes,638,6.376817401
CNN,10,No,639,1.700057135
CNN,10,Yes,640,10.6309882
CNN,20,No,641,5.387782593
CNN,20,Yes,642,1.464881753
LSTM,5,No,643,3.646832518
LSTM,5,Yes,644,4.538546761
LSTM,10,No,645,4.305068785
LSTM,10,Yes,646,5.228248484
LSTM,20,No,647,1.167889304
LSTM,20,Yes,648,1.271253021
CNN,5,No,649,2.213253188
CNN,5,Yes,650,8.183178933
CNN,10,No,651,0.57971986
CNN,10,Yes,652,8.371142285
CNN,20,No,653,5.725331592
CNN,20,Yes,654,5.889187321
LSTM,5,No,655,3.244152144
LSTM,5,Yes,656,4.048832656
LSTM,10,No,657,3.183590311
LSTM,10,Yes,658,1.72125851
LSTM,20,No,659,3.824523867
LSTM,20,Yes,660,1.594268995
CNN,5,No,769,2.076902199
CNN,5,Yes,770,3.26447332
CNN,10,No,771,4.026742515
CNN,10,Yes,772,5.589972886
CNN,20,No,773,7.460921908
CNN,20,Yes,774,0.791746306
LSTM,5,No,775,1.696698585
LSTM,5,Yes,776,4.536040815
LSTM,10,No,777,5.531408282
LSTM,10,Yes,778,2.889779105
LSTM,20,No,779,1.729174813
LSTM,20,Yes,780,2.775717368
CNN,5,No,781,3.844994802
CNN,5,Yes,782,6.467903529
CNN,10,No,783,3.751997482
CNN,10,Yes,784,1.547249848
CNN,20,No,785,5.573758127
CNN,20,Yes,786,9.830474429
LSTM,5,No,787,5.365783106
LSTM,5,Yes,788,7.401995242
LSTM,10,No,789,7.622847999
LSTM,10,Yes,790,1.940242795
LSTM,20,No,791,1.289997022
LSTM,20,Yes,792,1.849510015
CNN,5,No,793,7.20206503
CNN,5,Yes,794,1.207904789
CNN,10,No,795,2.866160535
CNN,10,Yes,796,6.236265942
CNN,20,No,797,4.474048535
CNN,20,Yes,798,11.09679791
LSTM,5,No,799,5.759804593
LSTM,5,Yes,800,9.044251395
LSTM,10,No,801,3.433142181
LSTM,10,Yes,802,4.208215024
LSTM,20,No,803,1.40443205
LSTM,20,Yes,804,2.85782469
CNN,5,No,1021,4.081202075
CNN,5,Yes,1022,3.358076788
CNN,10,No,1023,2.385855602
CNN,10,Yes,1024,5.375900331
CNN,20,No,1025,7.561238127
CNN,20,Yes,1026,5.904997952
LSTM,5,No,1027,4.103520071
LSTM,5,Yes,1028,6.436565622
LSTM,10,No,1029,4.975208173
LSTM,10,Yes,1030,5.540867226
LSTM,20,No,1031,1.501652293
LSTM,20,Yes,1032,1.12839013
CNN,5,No,1033,1.365513014
CNN,5,Yes,1034,1.267757929
CNN,10,No,1035,2.482475961
CNN,10,Yes,1036,1.102606077
CNN,20,No,1037,9.304407347
CNN,20,Yes,1038,2.275239604
LSTM,5,No,1039,5.94600485
LSTM,5,Yes,1040,3.279244371
LSTM,10,No,1041,6.522847898
LSTM,10,Yes,1042,5.909997102
LSTM,20,No,1043,1.928438102
LSTM,20,Yes,1044,2.491343764
