Model Type,Time Steps,Sentiment,Study,MAPE
LSTM,5,No,529,2.763843688
LSTM,5,Yes,530,1.376326818
LSTM,10,No,531,1.835917987
LSTM,10,Yes,532,8.506007851
LSTM,20,No,533,4.964818097
CNN,5,No,534,5.441550197
CNN,5,Yes,535,5.341726981
CNN,10,No,536,3.884967626
CNN,10,Yes,537,3.152701176
CNN,20,No,538,1.18683624
LSTM,5,No,539,1.627759761
LSTM,5,Yes,540,1.506937253
LSTM,10,No,541,1.668697483
LSTM,10,Yes,542,1.208991832
LSTM,20,No,543,2.911568274
CNN,5,No,544,2.0375914
CNN,5,Yes,545,5.92395505
CNN,10,No,546,6.809042604
CNN,10,Yes,547,4.535192442
CNN,20,No,548,2.172423216
LSTM,5,No,549,2.251292727
LSTM,5,Yes,550,4.511230581
LSTM,10,No,551,2.522199179
LSTM,10,Yes,552,0.932380845
LSTM,20,No,553,3.812571293
CNN,5,No,554,7.992151105
CNN,5,Yes,555,3.148599111
CNN,10,No,556,2.118090011
CNN,10,Yes,557,6.816169008
CNN,20,No,558,6.514704813
LSTM,5,No,559,6.246549286
LSTM,5,Yes,560,4.830612151
LSTM,10,No,561,2.243334022
LSTM,10,Yes,562,4.651140781
LSTM,20,No,563,1.202690123
LSTM,20,Yes,564,2.211489317
CNN,5,No,565,2.028018297
CNN,5,Yes,566,7.422731411
CNN,10,No,567,2.448748928
CNN,10,Yes,568,4.875802365
CNN,20,No,569,7.550274388
CNN,20,Yes,570,6.548823706
LSTM,5,No,571,4.722987242
LSTM,5,Yes,572,2.880819795
LSTM,10,No,573,2.099161268
LSTM,10,Yes,574,2.819985602
LSTM,20,No,575,1.421110571
LSTM,20,Yes,576,2.207738082
CNN,5,No,577,1.089903695
CNN,5,Yes,578,2.522452245
CNN,10,No,579,2.813753535
CNN,10,Yes,580,8.545624355
CNN,20,No,581,2.782750203
CNN,20,Yes,582,7.609982755
LSTM,5,No,583,2.036271874
LSTM,5,Yes,584,4.80258513
LSTM,10,No,585,5.402647603
LSTM,10,Yes,586,8.437209873
LSTM,20,No,587,1.760606103
LSTM,20,Yes,588,1.606406915
CNN,5,No,589,2.352711675
CNN,5,Yes,590,5.976487909
CNN,10,No,591,3.379582764
CNN,10,Yes,592,5.808169448
CNN,20,No,593,9.910863048
CNN,20,Yes,594,9.435112335
